Curriculum,Bioinformatics - (Bachelor of Science in Bioinformatics),,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,26.1103,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Chemical Thinking I,CHEM,151,,,,4,University of Arizona,
2,Functions for Calculus,MATH,122A,,,,1,University of Arizona,
3,First Semester Calculus,MATH,122B,,2,,4,University of Arizona,
4,First-Year Composition,ENGL,101,,,,3,University of Arizona,
5,Seminar in Bioinformatics,ECOL,296B,,,,1,University of Arizona,
6,Chemical Thinking II,CHEM,152,1;3,,,4,University of Arizona,
7,Introduction to Statistics and Biostatistics,MATH,263,3,,,3,University of Arizona,
8,First-Year Composition,ENGL,102,1,,,3,University of Arizona,
9,Tier I General Ed.,,,,,,3,University of Arizona,
10,Computational Thinking and Doing,ISTA,130,,,,4,University of Arizona,
11,Lectures in Organic Chemistry,CHEM,241A,7,,,3,University of Arizona,
12,Organic Chemistry Laboratory I,CHEM,243A,,11,,1,University of Arizona,
13,Introductory Biology II,ECOL,182R,,,,3,University of Arizona,
14,Introductory Biology II Lab,ECOL,182L,,,,1,University of Arizona,
15,Statistical Foundations for the Information Age,ISTA,116,3,,,3,University of Arizona,
16,Tier I General Ed.,,,,,,3,University of Arizona,
17,Lectures in Organic Chemistry,CHEM,241B,12,,,3,University of Arizona,
18,Organic Chemistry Laboratory II,CHEM,243B,,17,,1,University of Arizona,
19,Introductory Biology I,MCB,181R,3,,,3,University of Arizona,
20,Introductory Biology Laboratory I,MCB,181L,,,,1,University of Arizona,
21,Tier I General Ed.,,,,,,3,University of Arizona,
22,Tier I General Ed.,,,,,,3,University of Arizona,
23,Genetics,ECOL,320,,,,4,University of Arizona,
24,Data Mining and Discovery,ISTA,321,15,,,3,University of Arizona,
25,Second Language,,,,,,4,University of Arizona,
26,Major Elective,,,,,,4,University of Arizona,
27,Evolutionary Biology,ECOL,335,,,,4,University of Arizona,
28,Bioinformatics,ECOL,346,,,,4,University of Arizona,
29,Major Elective,,,,,,3,University of Arizona,
30,Second Language,,,,,,4,University of Arizona,
31,Major Elective,,,,,,4,University of Arizona,
32,Major Elective,,,,,,3,University of Arizona,
33,Major Elective,,,,,,3,University of Arizona,
34,Tier II General Ed,,,,,,3,University of Arizona,
35,Major Elective,,,,,,3,University of Arizona,
36,Major Elective,,,,,,3,University of Arizona,
37,Tier II General Ed,,,,,,3,University of Arizona,
38,Tier II General Ed,,,,,,3,University of Arizona,
